train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.8M
epoch 161/2000, train: loss=0.0325, val: psnr=30.1930, 1.6m 4.1h/51.2h
epoch 162/2000, train: loss=0.0330, val: psnr=29.8390, 1.5m 4.1h/51.2h
epoch 163/2000, train: loss=0.0326, val: psnr=30.6067, 1.6m 4.2h/51.2h
epoch 164/2000, train: loss=0.0326, val: psnr=29.7003, 1.5m 4.2h/51.2h
epoch 165/2000, train: loss=0.0320, val: psnr=29.9388, 1.5m 4.2h/51.2h
epoch 166/2000, train: loss=0.0322, val: psnr=30.4775, 1.6m 4.3h/51.2h
epoch 167/2000, train: loss=0.0318, val: psnr=29.6976, 1.5m 4.3h/51.2h
epoch 168/2000, train: loss=0.0315, val: psnr=29.5592, 1.6m 4.3h/51.2h
epoch 169/2000, train: loss=0.0322, val: psnr=29.8076, 1.6m 4.3h/51.2h
epoch 170/2000, train: loss=0.0323, val: psnr=29.8905, 1.6m 4.4h/51.2h
epoch 171/2000, train: loss=0.0317, val: psnr=29.9531, 1.6m 4.4h/51.3h
epoch 172/2000, train: loss=0.0320, val: psnr=30.3156, 1.6m 4.4h/51.3h
epoch 173/2000, train: loss=0.0324, val: psnr=29.7361, 1.6m 4.4h/51.3h
epoch 174/2000, train: loss=0.0327, val: psnr=29.9769, 1.5m 4.5h/51.3h
epoch 175/2000, train: loss=0.0322, val: psnr=30.3784, 1.6m 4.5h/51.3h
epoch 176/2000, train: loss=0.0318, val: psnr=29.9833, 1.5m 4.5h/51.3h
epoch 177/2000, train: loss=0.0319, val: psnr=30.4502, 1.6m 4.5h/51.3h
epoch 178/2000, train: loss=0.0318, val: psnr=30.0437, 1.5m 4.6h/51.3h
epoch 179/2000, train: loss=0.0320, val: psnr=30.1356, 1.6m 4.6h/51.3h
epoch 180/2000, train: loss=0.0323, val: psnr=29.8310, 1.6m 4.6h/51.3h
epoch 181/2000, train: loss=0.0322, val: psnr=30.2798, 1.5m 4.6h/51.3h
epoch 182/2000, train: loss=0.0322, val: psnr=30.2851, 1.5m 4.7h/51.3h
epoch 183/2000, train: loss=0.0321, val: psnr=29.5386, 1.5m 4.7h/51.3h
epoch 184/2000, train: loss=0.0320, val: psnr=30.1370, 1.5m 4.7h/51.3h
epoch 185/2000, train: loss=0.0323, val: psnr=30.1126, 1.6m 4.7h/51.3h
